Locus_id,Gene,Number of bases,Number of SNPs,Number of silent SNPs,Number of non-silent SNPs,Density (SNPs/bp),P-value,Product,Functional category,Subcellular localization,Bvg regulation
BP1913,ask,1266,0,,,0.00000,,aspartokinase,amino acid biosynthesis,Cytoplasmic,
BP1917,-,942,0,,,0.00000,,putative 3-hydroxyacyl-CoA dehydrogenase,miscellaneous,Cytoplasmic,
BP1921,bioH,810,0,,,0.00000,,putative hydrolase,miscellaneous,Cytoplasmic,
BP1924,-,639,0,,,0.00000,,probable TetR-family transcriptional regulator,regulation,Cytoplasmic,
BP1926,-,1125,0,,,0.00000,,putative extracellular solute-binding protein,conserved hypothetical,Periplasmic,
BP1935,-,393,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,Unknown,
BP1937,-,336,0,,,0.00000,,hypothetical protein,unknown,Unknown,
BP1938,-,450,0,,,0.00000,,hypothetical protein,unknown,Unknown,
BP1945,-,237,0,,,0.00000,,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP1955,maiA,753,0,,,0.00000,,maleate cis-trans isomerase,central/intermediary metabolism,Cytoplasmic,-
BP1956,-,820,0,,,0.00000,,probable alpha/beta hydrolase (Pseudogene),pseudogenes,ND,
BP1957,-,1032,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP1958,-,618,0,,,0.00000,,putative isochorismatase,miscellaneous,Unknown,
BP1960,-,1904,0,,,0.00000,,probable aldehyde dehydrogenase (Pseudogene),pseudogenes,ND,
BP1965,-,966,0,,,0.00000,,putative exported protein,cell surface,Periplasmic,
BP1968,-,319,0,,,0.00000,,fusion between a transposase and a C-terminal portion of a regulatory protein (Pseudogene),pseudogenes,ND,
BP1987,-,552,0,,,0.00000,,probable MarR-family transcriptional regulator,regulation,Cytoplasmic,
BP1991,-,177,0,,,0.00000,,putative membrane protein,cell surface,Cytoplasmic Membrane,-
BP1993,-,444,0,,,0.00000,,putative exported protein,cell surface,Cytoplasmic Membrane,
BP1995,-,942,0,,,0.00000,,putative membrane protein,cell surface,Unknown,
BP1996,-,1350,0,,,0.00000,,putative type II secretion system protein,transport/binding proteins,Outer Membrane,-
BP2004,-,1392,0,,,0.00000,,putative response regulator,regulation,Cytoplasmic,-
BP2010,efp,558,0,,,0.00000,,putative elongation factor P,macromolecule synthesis/modification,Cytoplasmic,
BP2017,-,735,0,,,0.00000,,putative haloacid-type dehydrogenase,miscellaneous,Cytoplasmic,
BP2019,-,528,0,,,0.00000,,putative lipoprotein,cell surface,Cytoplasmic Membrane,-
BP2020,-,339,0,,,0.00000,,hypothetical protein,unknown,Unknown,-
BP2022,-,675,0,,,0.00000,,putative exonuclease,macromolecule degradation,Cytoplasmic,
BP2024,-,291,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,Unknown,
BP2025,-,300,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,Unknown,
BP2029A,-,115,0,,,0.00000,,putative membrane protein (pseudogene),pseudogenes,ND,
BP2036,-,402,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,ND,
BP2041,proA,1260,0,,,0.00000,,putative gamma-glutamyl phosphate reductase,amino acid biosynthesis,Cytoplasmic,
BP2042,holA,1056,0,,,0.00000,,"putative DNA polymerase III, delta subunit",macromolecule synthesis/modification,Cytoplasmic,
BP2047,bph2,318,0,,,0.00000,,DNA-binding protein Bph2,regulation,Unknown,
BP2050,rpmG,168,0,,,0.00000,,50S ribosomal protein L33,macromolecule synthesis/modification,Cytoplasmic,
BP2051,rpmB,237,0,,,0.00000,,50S ribosomal protein L28,macromolecule synthesis/modification,Cytoplasmic,
BP2056,-,858,0,,,0.00000,,putative binding-protein-dependent transport protein,transport/binding proteins,Cytoplasmic Membrane,-
BP2058,-,375,0,,,0.00000,,putative tautomerase,miscellaneous,Unknown,
BP2059,-,1188,0,,,0.00000,,putative thiolase,miscellaneous,Cytoplasmic,
BP2067,-,513,0,,,0.00000,,putative superoxide dismutase,protection responses,Periplasmic,
BP2070,-,795,0,,,0.00000,,putative ABC-transporter ATP-binding component,transport/binding proteins,Cytoplasmic Membrane,-
BP2078,pdxJ,747,0,,,0.00000,,pyridoxal phosphate biosynthetic protein,cofactor biosynthesis,Cytoplasmic,
BP2079,acpS,462,0,,,0.00000,,putative holo-[acyl-carrier protein] synthase,cofactor biosynthesis,Unknown,
BP2080,nagZ,1059,0,,,0.00000,,putative beta-hexosaminidase,cell surface,Cytoplasmic,
BP2082,pgsA,573,0,,,0.00000,,putative CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,macromolecule synthesis/modification,Cytoplasmic Membrane,
BP2085,aceA,1323,0,,,0.00000,,putative isocitrate lyase,central/intermediary metabolism,Cytoplasmic,
BP2086,-,595,0,,,0.00000,,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP2092,-,528,0,,,0.00000,,putative dioxygenase component,small molecule degradation,Cytoplasmic,
BP2095,-,315,0,,,0.00000,,putative ferredoxin,miscellaneous,Unknown,
BP2098,-,1320,0,,,0.00000,,putative acyl-CoA ligase,miscellaneous,Cytoplasmic,
BP2101,-,2306,0,,,0.00000,,hypothetical protein (pseudogene),pseudogenes (phase-variable),ND,
BP2106,-,299,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,Unknown,
BP2108,-,1227,0,,,0.00000,,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP2110,-,783,0,,,0.00000,,putative exodeoxyribonuclease III,macromolecule synthesis/modification,Periplasmic,
BP2116,-,972,0,,,0.00000,,putative exported protein,cell surface,Periplasmic,
BP2119,-,293,0,,,0.00000,,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP2123,aroG,1162,0,,,0.00000,,"phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive (pseudogene)",pseudogenes (phase-variable),ND,
BP2124,-,1014,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP2130,-,819,0,,,0.00000,,conserved hypothetical protein,unknown,Cytoplasmic,
BP2134,-,348,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,-
BP2136,-,410,0,,,0.00000,,putative acetyltransferase (pseudogene),pseudogenes,ND,
BP2142,-,681,0,,,0.00000,,putative gntR-family transcriptional regulator,regulation,Cytoplasmic,+
BP2144,-,552,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,Unknown,
BP2145,-,372,0,,,0.00000,,putative ArsR-family transcriptional regulator,regulation,Unknown,
BP2148,-,180,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,Unknown,-
BP2150,-,357,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,Unknown,-
BP2154,-,821,0,,,0.00000,,putative LysR-family transcriptional regulator (pseudogene),pseudogenes,ND,
BP2160,-,744,0,,,0.00000,,conserved hypothetical protein (pseudogene),pseudogenes,ND,
BP2161,-,360,0,,,0.00000,,putative integral membrane protein,cell surface,Cytoplasmic Membrane,
BP2168,-,144,0,,,0.00000,,putative outer membrane protein,cell surface,Cytoplasmic Membrane,
BP2171,-,177,0,,,0.00000,,putative cytochrome C oxidase subunit (periplasmic protein),energy metabolism,Cytoplasmic Membrane,+/-
BP2174,-,153,0,,,0.00000,,putative lipoprotein,cell surface,Unknown,-
BP2175,-,240,0,,,0.00000,,putative inner membrane protein,cell surface,Cytoplasmic Membrane,
BP2176,-,744,0,,,0.00000,,putative inner membrane protein,cell surface,Cytoplasmic Membrane,
BP2186,rpsU,213,0,,,0.00000,,30S ribosomal protein S21,ribosome constituents,Cytoplasmic,
BP2187,-,540,0,,,0.00000,,putative transferase,miscellaneous,Cytoplasmic,
BP2193,hfq,237,0,,,0.00000,,putative RNA-binding regulatory protein,macromolecule synthesis/modification,Cytoplasmic,
BP2197,-,639,0,,,0.00000,,putative membrane protein,cell surface,Unknown,
BP2200,-,507,0,,,0.00000,,putative membrane protein,cell surface,Unknown,
BP2203,valS,2883,0,,,0.00000,,valyl-tRNA synthetase,macromolecule synthesis/modification,Cytoplasmic,
BP2210,-,1290,0,,,0.00000,,putative amino acid dehydrogenase subunit,amino acid biosynthesis,Cytoplasmic Membrane,-
BP2211,-,438,0,,,0.00000,,putative conserved DNA-binding protein,miscellaneous,Cytoplasmic,
BP2213,-,465,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP2217,-,1029,0,,,0.00000,,putative regulator (SIS family),regulation,Cytoplasmic Membrane,
BP2225,-,1458,0,,,0.00000,,putative phospholipase,miscellaneous,Cytoplasmic Membrane,+
BP2227,-,429,0,,,0.00000,,putative anti-sigma factor,regulation,Unknown,+
BP2234,brpL,603,0,,,0.00000,,putative RNA polymerase sigma factor,macromolecule synthesis/modification,Cytoplasmic,+
BP2238,bscT,801,0,,,0.00000,,putative type III secretion protein,virulence-associated genes,Cytoplasmic Membrane,+
BP2243,bscP,549,0,,,0.00000,,hypothetical protein,virulence-associated genes,Unknown,+
BP2244,bscO,510,0,,,0.00000,,putative type III secretion protein,virulence-associated genes,Cytoplasmic,+
BP2246,bscL,639,0,,,0.00000,,putative type III secretion protein,virulence-associated genes,Cytoplasmic,+
BP2250,bcr4,522,0,,,0.00000,,hypothetical protein,virulence-associated genes,Unknown,+
BP2251,bcrH2,462,0,,,0.00000,,putative regulatory protein,virulence-associated genes,Unknown,+
BP2254,bcrH1,486,0,,,0.00000,,putative regulatory protein,virulence-associated genes,Cytoplasmic,+
BP2256,bsp22,618,0,,,0.00000,,putative secreted protein,virulence-associated genes,Unknown,+
BP2258,-,378,0,,,0.00000,,hypothetical protein,virulence-associated genes,Unknown,+
BP2259,-,411,0,,,0.00000,,conserved hypothetical protein,virulence-associated genes,Unknown,+
BP2262,bscD,1281,0,,,0.00000,,putative type III secretion protein,virulence-associated genes,Cytoplasmic Membrane,+
BP2265,-,456,0,,,0.00000,,hypothetical protein,unknown,Cytoplasmic Membrane,+
BP2273,-,363,0,,,0.00000,,putative exported oxidoreductase (Pseudogene),pseudogenes,ND,
BP2275,-,831,0,,,0.00000,,putative hydrolase,miscellaneous,Cytoplasmic,
BP2277,-,1077,0,,,0.00000,,putative ABC transport ATP-binding subunit,transport/binding proteins,Cytoplasmic Membrane,
BP2279,-,570,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,Unknown,
BP2280,-,852,0,,,0.00000,,putative sulfurtransferase,miscellaneous,Cytoplasmic,
BP2282,-,882,0,,,0.00000,,heat shock protease,adaptation,Cytoplasmic Membrane,
BP2286,-,489,0,,,0.00000,,putative transcriptional regulator (MarR family),regulation,Cytoplasmic,
BP2289,-,1191,0,,,0.00000,,putative multidrug resistance protein.,protection responses,Cytoplasmic Membrane,
BP2300,-,1035,0,,,0.00000,,putative acetylpolyamine aminohydrolase,small molecule degradation,Cytoplasmic,
BP2306,-,1356,0,,,0.00000,,putative sodium:alanine symporter,transport/binding proteins,Cytoplasmic Membrane,
BP2308,-,732,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP2311,nadD,594,0,,,0.00000,,putative nicotinate-nucleotide adenylyltransferase,central/intermediary metabolism,Cytoplasmic,
BP2313,-,471,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,Unknown,
BP2317,-,1464,0,,,0.00000,,putative ribonuclease,cell division,Cytoplasmic,
BP2322,waaF,966,0,,,0.00000,,heptosyltransferase II,macromolecule synthesis/modification,Periplasmic,
BP2329,-,753,0,,,0.00000,,putative transferase,macromolecule synthesis/modification,Unknown,
BP2330,-,852,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,Unknown,
BP2331,-,1104,0,,,0.00000,,putative transferase,macromolecule synthesis/modification,Cytoplasmic,
BP2336,-,273,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP2344,-,357,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,Unknown,
BP2349,-,735,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,Cytoplasmic Membrane,
BP2350,-,426,0,,,0.00000,,globin-like protein,miscellaneous,Cytoplasmic,
BP2354,-,1274,0,,,0.00000,,putative inner membrane protein,cell surface,Cytoplasmic Membrane,
BP2361,sdhA,1779,0,,,0.00000,,succinate dehydrogenase flavoprotein subunit,energy metabolism,Cytoplasmic Membrane,+
BP2362,sdhD,384,0,,,0.00000,,succinate dehydrogenase hydrophobic membrane anchor protein,energy metabolism,Cytoplasmic Membrane,
BP2370,-,1191,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP2372,-,423,0,,,0.00000,,putative conserved inner membrane protein,cell surface,Cytoplasmic Membrane,
BP2374,-,198,0,,,0.00000,,hypothetical protein,unknown,Unknown,+
BP2377,-,1692,0,,,0.00000,,putative AMP-binding protein,miscellaneous,Cytoplasmic,
BP2379,-,915,0,,,0.00000,,putative chaperonin,cell processes,Cytoplasmic,
BP2380,-,753,0,,,0.00000,,putative periplasmic protein,cell surface,Unknown,
BP2385,-,357,0,,,0.00000,,putative conserved inner membrane protein,cell surface,Cytoplasmic Membrane,-
BP2388,kdsA,858,0,,,0.00000,,2-dehydro-3-deoxyphosphooctonate aldolase,macromolecule synthesis/modification,Cytoplasmic,
BP2393,-,1149,0,,,0.00000,,probable D-aminopeptidase,conserved hypothetical,Unknown,+
BP2395,-,921,0,,,0.00000,,putative binding-protein-dependent transport permease,transport/binding proteins,Cytoplasmic Membrane,+
BP2399,-,885,0,,,0.00000,,putative transcriptional regulator,regulation,Cytoplasmic,+
BP2400,-,654,0,,,0.00000,,putative coenzyme A transferase subunit,miscellaneous,Cytoplasmic,
BP2405,-,1149,0,,,0.00000,,putative cytochrome p450 oxidoreductase,energy metabolism,Cytoplasmic,
BP2406,-,363,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,Unknown,
BP2407,ltaE,1020,0,,,0.00000,,low-specificity L-threonine aldolase,amino acid biosynthesis,Cytoplasmic,
BP2414,-,342,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,Unknown,
BP2421,pepA,1500,0,,,0.00000,,cytosol aminopeptidase,macromolecule synthesis/modification,Cytoplasmic,
BP2423,-,327,0,,,0.00000,,hypothetical protein,unknown,Unknown,
BP2431,rnc,771,0,,,0.00000,,ribonuclease III,macromolecule degradation,Cytoplasmic,
BP2437,algT,600,0,,,0.00000,,RNA polymerase sigma factor,macromolecule synthesis/modification,Cytoplasmic,
BP2438,-,501,0,,,0.00000,,putative integral membrane protein,miscellaneous,Cytoplasmic Membrane,
BP2440,acpP,240,0,,,0.00000,,acyl carrier protein,cofactor biosynthesis,Cytoplasmic,
BP2441,fabG,753,0,,,0.00000,,3-oxoacyl-[acyl-carrier protein] reductase,fatty acid metabolism,Cytoplasmic,
BP2444,-,1059,0,,,0.00000,,putative fatty acid synthesis protein,fatty acid metabolism,Cytoplasmic,
BP2445,rpmF,183,0,,,0.00000,,50s ribosomal protein l32,ribosome constituents,Cytoplasmic,
BP2447,-,600,0,,,0.00000,,conserved hypothetical protein,miscellaneous,Cytoplasmic,
BP2448,-,711,0,,,0.00000,,conserved hypothetical protein,miscellaneous,Unknown,
BP2451,-,1242,0,,,0.00000,,putative membrane transport protein,transport/binding proteins,Cytoplasmic Membrane,
BP2452,-,774,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP2454,-,779,0,,,0.00000,,putative oxidoreductase,central/intermediary metabolism,Unknown,
BP2468,vrg-6,318,0,,,0.00000,,Virulence protein,virulence-associated genes,Unknown,-
BP2469,-,345,0,,,0.00000,,hypothetical protein,unknown,Unknown,
BP2472,-,633,0,,,0.00000,,putative exported protein,cell surface,Periplasmic,
BP2475,-,687,0,,,0.00000,,hypothetical protein,miscellaneous,Cytoplasmic,
BP2476,-,333,0,,,0.00000,,putative mebrane transport protein,transport/binding proteins,Cytoplasmic Membrane,
BP2479,-,273,0,,,0.00000,,putative integral membrane protein,cell surface,Cytoplasmic Membrane,
BP2484,kdpE,696,0,,,0.00000,,two component system transcriptional regulatory protein,regulation,Cytoplasmic,+
BP2487,-,1002,0,,,0.00000,,hypothetical protein,unknown,Cytoplasmic,-
BP2489,-,426,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP2491,-,336,0,,,0.00000,,putative cytochrome,energy metabolism,Periplasmic,+
BP2501,-,555,0,,,0.00000,,putative GrpE chaperone,cell processes,Cytoplasmic,
BP2506,-,1662,0,,,0.00000,,DNA repair protein,macromolecule synthesis/modification,Cytoplasmic,
BP2507,fur,420,0,,,0.00000,,ferric ion uptake regulator,regulation,Cytoplasmic,
BP2510,murB,1056,0,,,0.00000,,UDP-N-acetylenolpyruvoylglucosamine reductase,cell surface,Cytoplasmic,-
BP2514,purU,849,0,,,0.00000,,putative formyltetrahydrofolate deformylase,ribonucleotide biosynthesis,Cytoplasmic,
BP2517,soxD,273,0,,,0.00000,,sarcosine oxidase delta subunit,macromolecule degradation,Cytoplasmic,
BP2524A,-,312,0,,,0.00000,,N-terminal region of a putative membrane protein (pseudogene),pseudogenes,ND,
BP2530,-,264,0,,,0.00000,,integral membrane protein,cell surface,Unknown,
BP2532,-,696,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP2534,-,1596,0,,,0.00000,,putative exported protein,cell surface,Cytoplasmic Membrane,
BP2536,-,789,0,,,0.00000,,putative uroporphyrinogen-III synthase,cofactor biosynthesis,Cytoplasmic,
BP2541,sucC,1161,0,,,0.00000,,"Succinyl-CoA synthetase, beta chain",energy metabolism,Cytoplasmic,
BP2542,-,603,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP2544,metR,930,0,,,0.00000,,transcriptional regulatory protein,regulation,Cytoplasmic,
BP2545,-,567,0,,,0.00000,,RecX-family regulatory protein,regulation,Cytoplasmic,
BP2550,-,795,0,,,0.00000,,putative enoyl-CoA hydratase,fatty acid metabolism,Cytoplasmic,
BP2551,-,1065,0,,,0.00000,,"ABC transport protein, ATP-binding component",transport/binding proteins,Cytoplasmic Membrane,
BP2553,-,1038,0,,,0.00000,,putative exported protein,cell surface,Unknown,
BP2556,-,393,0,,,0.00000,,hypothetical protein,unknown,Unknown,
BP2559,-,1188,0,,,0.00000,,hypothetical protein,miscellaneous,Cytoplasmic,
BP2562,pyrB,1296,0,,,0.00000,,aspartate transcarbamoylase,ribonucleotide biosynthesis,Cytoplasmic,
BP2563,-,414,0,,,0.00000,,putative integral membrane protein,cell surface,Cytoplasmic Membrane,
BP2567,-,384,0,,,0.00000,,hypothetical protein,unknown,Unknown,
BP2569,-,597,0,,,0.00000,,putative lipoprotein,cell surface,Unknown,-
BP2572,ihfA,342,0,,,0.00000,,integration host factor alpha-subunit,macromolecule synthesis/modification,Cytoplasmic,
BP2574,pheS,1047,0,,,0.00000,,phenylalanyl-tRNA synthetase alpha chain,macromolecule synthesis/modification,ND,
BP2575,rplT,360,0,,,0.00000,,50s ribosomal protein,ribosome constituents,Cytoplasmic,
BP2576,rpmI,198,0,,,0.00000,,50s ribosomal protein l35,ribosome constituents,Cytoplasmic,
BP2578,dnaS,446,0,,,0.00000,,deoxyuridine 5-triphosphate nucleotidohydrolase,ribonucleotide biosynthesis,Unknown,
BP2584,-,267,0,,,0.00000,,putative acetyltransferase (Pseudogene),pseudogenes,ND,
BP2588,-,305,0,,,0.00000,,putative regulatory protein (pseudogene),pseudogenes,ND,
BP2589,-,525,0,,,0.00000,,putative DNA-binding protein,miscellaneous,Cytoplasmic,
BP2593,-,960,0,,,0.00000,,ABC transport protein inner membrane component,transport/binding proteins,Cytoplasmic Membrane,
BP2596,-,471,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,Unknown,
BP2602,-,1170,0,,,0.00000,,hypothetical protein,miscellaneous,Cytoplasmic,
BP2603,-,681,0,,,0.00000,,hypothetical protein,unknown,Unknown,
BP2618,-,813,0,,,0.00000,,putative transcriptional regulator,regulation,ND,
BP2622,hipA,1341,0,,,0.00000,,HipA-like protein,conserved hypothetical,Cytoplasmic,-
BP2623,hipB,288,0,,,0.00000,,DNA-binding protein,miscellaneous,Unknown,
BP2626,-,612,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,Unknown,
BP2631,-,243,0,,,0.00000,,C-terminal region of a putative exported protein (pseudogene),pseudogenes,ND,
BP2635,lrp,468,0,,,0.00000,,leucine-responsive regulatory protein,regulation,Cytoplasmic,
BP2646,-,871,0,,,0.00000,,putative oxidoreductase (pseudogene),pseudogenes,ND,
BP2649,-,861,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,Unknown,-
BP2652,-,504,0,,,0.00000,,putative exported protein,cell surface,Unknown,+
BP2657,-,693,0,,,0.00000,,putative membrane protein,cell surface,Cytoplasmic Membrane,
BP2658,-,417,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP2660,-,444,0,,,0.00000,,conserved hypothetical protein,miscellaneous,Cytoplasmic,
BP2664,-,474,0,,,0.00000,,putative MarR-family transcriptional regulator,regulation,Cytoplasmic,
BP2674,fimX,606,0,,,0.00000,,fimbrial protein,virulence-associated genes,Extracellular,+
BP2676,paaI,471,0,,,0.00000,,phenylacetic acid degradation protein,small molecule degradation,Unknown,-
BP2677,paaG,789,0,,,0.00000,,probable enoyl-CoA hydratase,small molecule degradation,Cytoplasmic,-
BP2680,paaE,1049,0,,,0.00000,,probable phenylacetic acid degradation NADH oxidoreductase (pseudogene),pseudogenes,ND,
BP2682,paaC,765,0,,,0.00000,,phenylacetic acid degradation protein,small molecule degradation,Cytoplasmic,-
BP2683,paaB,285,0,,,0.00000,,phenylacetic acid degradation protein,small molecule degradation,Unknown,-
BP2686,-,687,0,,,0.00000,,hypothetical protein,unknown,Unknown,
BP2687,-,546,0,,,0.00000,,oligoribonuclease,macromolecule degradation,Cytoplasmic,
BP2688,-,1266,0,,,0.00000,,putative integral membrane zinc-metalloprotease,macromolecule degradation,Cytoplasmic Membrane,
BP2693,-,1629,0,,,0.00000,,putative gamma-glutamyltranspeptidase,macromolecule degradation,Periplasmic,
BP2696,-,1937,0,,,0.00000,,putative phosphatase (pseudogene),pseudogenes,ND,
BP2697,-,374,0,,,0.00000,,putative heat shock protein,adaptation,ND,
BP2699,glnB,339,0,,,0.00000,,nitrogen regulatory protein,regulation,Cytoplasmic Membrane,
BP2703,-,585,0,,,0.00000,,hypothetical protein,miscellaneous,Unknown,
BP2709,moaE,492,0,,,0.00000,,molybdopterin converting factor,cofactor biosynthesis,Cytoplasmic,
BP2716,-,1401,0,,,0.00000,,putative membrane transport protein,transport/binding proteins,Cytoplasmic Membrane,
BP2717,-,876,0,,,0.00000,,putative exported protein,cell surface,Cytoplasmic Membrane,
BP2719,-,306,0,,,0.00000,,putative exported protein,transport/binding proteins,Unknown,+
BP2727,-,801,0,,,0.00000,,exported SurF1-family protein,miscellaneous,Cytoplasmic Membrane,
BP2728,-,408,0,,,0.00000,,cytochrome ubiquinol oxidase subunit IV,energy metabolism,Cytoplasmic Membrane,
BP2733,-,10,0,,,0.00000,,transposase,phage-related or transposon-related,Cytoplasmic,
BP2741,-,603,0,,,0.00000,,putative TetR-family transcriptional regulator,regulation,Cytoplasmic,
BP2750,-,669,0,,,0.00000,,lipoprotein,cell surface,Unknown,
BP2756,-,315,0,,,0.00000,,hypothetical protein,miscellaneous,Cytoplasmic,
BP2757,-,246,0,,,0.00000,,putative cold-shock protein,adaptation,Cytoplasmic,-
BP2758,-,519,0,,,0.00000,,exported protein,cell surface,Unknown,
BP2764,-,621,0,,,0.00000,,putative biopolymer transport protein,transport/binding proteins,Cytoplasmic Membrane,
BP2765,-,414,0,,,0.00000,,putative biopolymer transport protein,transport/binding proteins,Unknown,
BP2767,-,189,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,Unknown,
BP2771,-,1602,0,,,0.00000,,conserved integral membrane protein,cell surface,Cytoplasmic Membrane,
BP2773,rpst,264,0,,,0.00000,,30s ribosomal protein s20,ribosome constituents,Cytoplasmic,
BP2775,-,986,0,,,0.00000,,putative exported protein (pseudogene),pseudogenes,ND,-
BP2791,dnaB,1374,0,,,0.00000,,DNA helicase,macromolecule synthesis/modification,Cytoplasmic,+
BP2795,priB,324,0,,,0.00000,,primosomal replication protein n,macromolecule synthesis/modification,Unknown,
BP2797,-,798,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP2800,xseB,267,0,,,0.00000,,exodeoxyribonuclease VII small subunit,macromolecule degradation,Cytoplasmic,
BP2801,-,870,0,,,0.00000,,putative transcriptional regulator,regulation,Cytoplasmic,
BP2802,-,966,0,,,0.00000,,putative exported protein,cell surface,Unknown,-
BP2804,-,1148,0,,,0.00000,,putative iron-sulfur protein,miscellaneous,Cytoplasmic,
BP2806,-,1473,0,,,0.00000,,putative cation transport protein,transport/binding proteins,Cytoplasmic Membrane,
BP2807,-,411,0,,,0.00000,,putative thioesterase,miscellaneous,Unknown,
BP2809,-,879,0,,,0.00000,,putative transcriptional regulator,regulation,Cytoplasmic,
BP2813,-,996,0,,,0.00000,,inositol monophosphatase-family protein,miscellaneous,Unknown,
BP2815,-,2226,0,,,0.00000,,hypothetical protein,miscellaneous,Unknown,
BP2818,-,798,0,,,0.00000,,putative exported protein,cell surface,Cytoplasmic Membrane,+
BP2819,-,1,0,,,0.00000,,transposase,phage-related or transposon-related,Cytoplasmic,
BP2822,-,302,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,ND,
BP2823,-,387,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP2826,-,984,0,,,0.00000,,putative exported protein,cell surface,Unknown,
BP2827,-,405,0,,,0.00000,,hypothetical protein,unknown,Cytoplasmic,
BP2830,-,867,0,,,0.00000,,"putative ABC transport protein, inner mebrane component",transport/binding proteins,Cytoplasmic Membrane,
BP2831,-,792,0,,,0.00000,,"ABC transport protein, inner membrane component",transport/binding proteins,Cytoplasmic Membrane,
BP2834,-,289,0,,,0.00000,,transposase (Pseudogene),pseudogenes,ND,
BP2837,-,465,0,,,0.00000,,putative MerR-family transcriptional regulator,regulation,Cytoplasmic,
BP2838,-,660,0,,,0.00000,,putative hydrolase,macromolecule synthesis/modification,Unknown,
BP2842,-,138,0,,,0.00000,,hypothetical protein (pseudogene),pseudogenes,ND,-
BP2850,panB,837,0,,,0.00000,,probable 3-methyl-2-oxobutanoate hydroxymethyltransferase,cofactor biosynthesis,Cytoplasmic,
BP2859,-,693,0,,,0.00000,,conserved hypothetical protein,conserved hypothetical,Unknown,
BP2862,-,369,0,,,0.00000,,conserved hypothetical protein,unknown,Unknown,
BP2864,-,1011,0,,,0.00000,,putative alcohol dehydrogenase,central/intermediary metabolism,Cytoplasmic Membrane,-
BP2866,-,1078,0,,,0.00000,,putative exported protein (pseudogene),pseudogenes (phase-variable),ND,-
BP2868,-,783,0,,,0.00000,,"putative ABC transport proteins, inner membrane component",transport/binding proteins,Cytoplasmic Membrane,
BP2871,-,549,0,,,0.00000,,hypothetical protein,unknown,Unknown,+
BP2872,-,462,0,,,0.00000,,putative AsnC-family transcriptional regulator,regulation,Cytoplasmic,+
BP2874,ribC,702,0,,,0.00000,,riboflavin synthase alpha chain,cofactor biosynthesis,Cytoplasmic,
BP2876,-,1,0,,,0.00000,,transposase (Pseudogene),pseudogenes,ND,
BP2880,-,510,0,,,0.00000,,conserved hypothetical protein,miscellaneous,Cytoplasmic,
BP2885,-,1073,0,,,0.00000,,putative exported protein,cell surface,Cytoplasmic Membrane,-
BP2886,-,753,0,,,0.00000,,putative lipoprotein,cell surface,Unknown,-
BP2887,-,330,0,,,0.00000,,hypothetical protein,unknown,Cytoplasmic,+
